Date : 2022-05-08 23:12:16
Directory : c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations
Total : 4402 files,  1243208 codes, 566165 comments, 242171 blanks, all 2051544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| venv\Lib\site-packages\numpy\distutils\command                                                                                                                |         18 |      2,155 |        407 |        378 |      2,940 |
| venv\Lib\site-packages\numpy\distutils\fcompiler                                                                                                              |         18 |      2,138 |        322 |        430 |      2,890 |
| venv\Lib\site-packages\numpy\distutils\mingw                                                                                                                  |          1 |          5 |          0 |          2 |          7 |
| venv\Lib\site-packages\numpy\distutils\tests                                                                                                                  |         12 |        676 |        149 |        166 |        991 |
| venv\Lib\site-packages\numpy\doc                                                                                                                              |         14 |         67 |      4,292 |         42 |      4,401 |
| venv\Lib\site-packages\numpy\f2py                                                                                                                             |         42 |      9,902 |      3,250 |      1,211 |     14,363 |
| venv\Lib\site-packages\numpy\f2py\src                                                                                                                         |          2 |        973 |        101 |         99 |      1,173 |
| venv\Lib\site-packages\numpy\f2py\tests                                                                                                                       |         23 |      1,617 |        905 |        398 |      2,920 |
| venv\Lib\site-packages\numpy\f2py\tests\src                                                                                                                   |          1 |        202 |         13 |         19 |        234 |
| venv\Lib\site-packages\numpy\f2py\tests\src\array_from_pyobj                                                                                                  |          1 |        202 |         13 |         19 |        234 |
| venv\Lib\site-packages\numpy\fft                                                                                                                              |          7 |        559 |      1,466 |        151 |      2,176 |
| venv\Lib\site-packages\numpy\fft\tests                                                                                                                        |          3 |        329 |         28 |         69 |        426 |
| venv\Lib\site-packages\numpy\lib                                                                                                                              |         51 |     21,026 |     16,613 |      4,613 |     42,252 |
| venv\Lib\site-packages\numpy\lib\tests                                                                                                                        |         25 |     13,091 |      1,347 |      2,650 |     17,088 |
| venv\Lib\site-packages\numpy\linalg                                                                                                                           |          8 |      2,472 |      2,185 |        633 |      5,290 |
| venv\Lib\site-packages\numpy\linalg\tests                                                                                                                     |          5 |      1,654 |        246 |        415 |      2,315 |
| venv\Lib\site-packages\numpy\ma                                                                                                                               |         16 |     11,362 |      7,303 |      1,982 |     20,647 |
| venv\Lib\site-packages\numpy\ma\tests                                                                                                                         |          8 |      6,906 |        849 |      1,083 |      8,838 |
| venv\Lib\site-packages\numpy\matrixlib                                                                                                                        |         11 |      1,138 |        905 |        295 |      2,338 |
| venv\Lib\site-packages\numpy\matrixlib\tests                                                                                                                  |          8 |        869 |        102 |        230 |      1,201 |
| venv\Lib\site-packages\numpy\polynomial                                                                                                                       |         20 |      5,445 |      9,481 |      1,409 |     16,335 |
| venv\Lib\site-packages\numpy\polynomial\tests                                                                                                                 |         10 |      3,063 |        432 |        752 |      4,247 |
| venv\Lib\site-packages\numpy\random                                                                                                                           |         20 |      6,724 |        708 |      1,353 |      8,785 |
| venv\Lib\site-packages\numpy\random\_examples                                                                                                                 |          5 |        165 |         58 |         60 |        283 |
| venv\Lib\site-packages\numpy\random\_examples\cffi                                                                                                            |          2 |         50 |         19 |         19 |         88 |
| venv\Lib\site-packages\numpy\random\_examples\cython                                                                                                          |          1 |         29 |          7 |          6 |         42 |
| venv\Lib\site-packages\numpy\random\_examples\numba                                                                                                           |          2 |         86 |         32 |         35 |        153 |
| venv\Lib\site-packages\numpy\random\tests                                                                                                                     |         12 |      6,341 |        460 |      1,257 |      8,058 |
| venv\Lib\site-packages\numpy\random\tests\data                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| venv\Lib\site-packages\numpy\testing                                                                                                                          |         14 |      3,203 |      2,202 |        789 |      6,194 |
| venv\Lib\site-packages\numpy\testing\_private                                                                                                                 |          6 |      1,748 |      1,990 |        414 |      4,152 |
| venv\Lib\site-packages\numpy\testing\tests                                                                                                                    |          4 |      1,335 |        192 |        353 |      1,880 |
| venv\Lib\site-packages\numpy\tests                                                                                                                            |          8 |        814 |        137 |        165 |      1,116 |
| venv\Lib\site-packages\olefile                                                                                                                                |          2 |      1,103 |      1,101 |        226 |      2,430 |
| venv\Lib\site-packages\olefile-0.46.dist-info                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\pip                                                                                                                                    |        372 |     76,975 |     25,578 |     14,669 |    117,222 |
| venv\Lib\site-packages\pip\_internal                                                                                                                          |        133 |     16,645 |      6,136 |      4,296 |     27,077 |
| venv\Lib\site-packages\pip\_internal\cli                                                                                                                      |         12 |      1,849 |        495 |        457 |      2,801 |
| venv\Lib\site-packages\pip\_internal\commands                                                                                                                 |         16 |      2,161 |        426 |        508 |      3,095 |
| venv\Lib\site-packages\pip\_internal\distributions                                                                                                            |          5 |        132 |         59 |         51 |        242 |
| venv\Lib\site-packages\pip\_internal\index                                                                                                                    |          3 |        957 |        500 |        230 |      1,687 |
| venv\Lib\site-packages\pip\_internal\models                                                                                                                   |         11 |        649 |        235 |        194 |      1,078 |
| venv\Lib\site-packages\pip\_internal\network                                                                                                                  |          8 |        786 |        379 |        245 |      1,410 |
| venv\Lib\site-packages\pip\_internal\operations                                                                                                               |         13 |      1,551 |        441 |        366 |      2,358 |
| venv\Lib\site-packages\pip\_internal\operations\build                                                                                                         |          5 |        191 |         37 |         52 |        280 |
| venv\Lib\site-packages\pip\_internal\operations\install                                                                                                       |          4 |        659 |        220 |        155 |      1,034 |
| venv\Lib\site-packages\pip\_internal\req                                                                                                                      |          7 |      2,040 |        613 |        426 |      3,079 |
| venv\Lib\site-packages\pip\_internal\resolution                                                                                                               |         13 |      1,589 |        582 |        383 |      2,554 |
| venv\Lib\site-packages\pip\_internal\resolution\legacy                                                                                                        |          2 |        278 |        136 |         61 |        475 |
| venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                                                    |          9 |      1,298 |        444 |        314 |      2,056 |
| venv\Lib\site-packages\pip\_internal\utils                                                                                                                    |         29 |      2,507 |      1,290 |        776 |      4,573 |
| venv\Lib\site-packages\pip\_internal\vcs                                                                                                                      |          6 |      1,109 |        516 |        264 |      1,889 |
| venv\Lib\site-packages\pip\_vendor                                                                                                                            |        237 |     60,312 |     19,427 |     10,360 |     90,099 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                                                               |         13 |        738 |        268 |        265 |      1,271 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                                                        |          3 |        111 |         33 |         40 |        184 |
| venv\Lib\site-packages\pip\_vendor\certifi                                                                                                                    |          3 |         32 |         28 |         18 |         78 |
| venv\Lib\site-packages\pip\_vendor\chardet                                                                                                                    |         41 |      4,710 |      1,590 |        462 |      6,762 |
| venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                                                |          2 |         43 |         32 |         13 |         88 |
| venv\Lib\site-packages\pip\_vendor\colorama                                                                                                                   |          6 |        579 |         70 |        124 |        773 |
| venv\Lib\site-packages\pip\_vendor\distlib                                                                                                                    |         19 |      9,594 |      3,153 |      1,735 |     14,482 |
| venv\Lib\site-packages\pip\_vendor\distlib\_backport                                                                                                          |          6 |      2,698 |      1,030 |        566 |      4,294 |
| venv\Lib\site-packages\pip\_vendor\html5lib                                                                                                                   |         33 |     10,420 |      1,464 |      1,392 |     13,276 |
| venv\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                                                             |          3 |         77 |          2 |         36 |        115 |
| venv\Lib\site-packages\pip\_vendor\html5lib\filters                                                                                                           |          8 |      1,094 |        186 |         96 |      1,376 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                                                      |          3 |         82 |         32 |         23 |        137 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                                                      |          5 |      1,003 |        222 |        259 |      1,484 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                                                       |          6 |        556 |        165 |        149 |        870 |
| venv\Lib\site-packages\pip\_vendor\idna                                                                                                                       |          8 |     10,750 |         38 |        214 |     11,002 |
| venv\Lib\site-packages\pip\_vendor\msgpack                                                                                                                    |          5 |        925 |        289 |        148 |      1,362 |
| venv\Lib\site-packages\pip\_vendor\packaging                                                                                                                  |         11 |      1,643 |        842 |        569 |      3,054 |
| venv\Lib\site-packages\pip\_vendor\pep517                                                                                                                     |         10 |        877 |        274 |        251 |      1,402 |
| venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                                                              |          2 |      1,847 |        903 |        571 |      3,321 |
| venv\Lib\site-packages\pip\_vendor\progress                                                                                                                   |          4 |        214 |         56 |         86 |        356 |
| venv\Lib\site-packages\pip\_vendor\requests                                                                                                                   |         18 |      2,571 |      1,648 |        886 |      5,105 |
| venv\Lib\site-packages\pip\_vendor\resolvelib                                                                                                                 |          7 |        391 |        259 |        140 |        790 |
| venv\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                                                          |          2 |          5 |          0 |          3 |          8 |
| venv\Lib\site-packages\pip\_vendor\toml                                                                                                                       |          5 |      1,198 |         97 |        135 |      1,430 |
| venv\Lib\site-packages\pip\_vendor\urllib3                                                                                                                    |         39 |      6,453 |      2,996 |      1,792 |     11,241 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                                                            |         10 |      1,879 |        684 |        478 |      3,041 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                                                           |          3 |        597 |        170 |        151 |        918 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                                                           |          6 |        827 |        202 |        236 |      1,265 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                                                 |          2 |         38 |         11 |          4 |         53 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                                                        |          2 |        101 |         58 |         25 |        184 |
| venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                                                               |         12 |      1,460 |        837 |        389 |      2,686 |
| venv\Lib\site-packages\pip\_vendor\webencodings                                                                                                               |          5 |        769 |        241 |        105 |      1,115 |
| venv\Lib\site-packages\pkg_resources                                                                                                                          |         16 |      6,577 |      4,324 |      1,727 |     12,628 |
